Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
9,3,2,yes,yes,poor,medium,smart worker,Management,information security,parallel computing,web technologies,Finance,Business process analyst,Applications Developer
4,6,3,no,yes,excellent,medium,smart worker,Management,hadoop,networks,ethical hacking,Sales and Marketing,Business process analyst,Applications Developer
8,9,1,yes,no,poor,poor,smart worker,Management,shell programming,Computer Architecture,AWS,Sales and Marketing,security,Applications Developer
1,3,5,no,yes,medium,medium,hard worker,Management,hadoop,Software Engineering,AWS,Product based,cloud computing,Applications Developer
1,2,4,yes,yes,poor,poor,hard worker,Management,distro making,Computer Architecture,database security,Testing and Maintainance Services,system developer,Applications Developer
2,5,7,yes,yes,excellent,medium,hard worker,Technical,r programming,networks,ethical hacking,Cloud Services,developer,Applications Developer
6,3,1,no,no,excellent,excellent,hard worker,Management,information security,hacking,game development,Testing and Maintainance Services,testing,Applications Developer
2,8,1,no,no,excellent,poor,smart worker,Technical,information security,data engineering,database security,Product based,cloud computing,Applications Developer
3,1,4,yes,no,excellent,medium,smart worker,Technical,distro making,Computer Architecture,database security,Cloud Services,security,Applications Developer
2,2,2,yes,no,excellent,excellent,smart worker,Management,information security,hacking,data science,Sales and Marketing,system developer,Applications Developer
5,2,9,no,no,medium,poor,hard worker,Management,r programming,distributed computing,AWS,SAaS services,Business process analyst,Applications Developer
3,6,7,yes,yes,excellent,poor,smart worker,Management,hadoop,distributed computing,game development,BPA,testing,Applications Developer
1,8,5,yes,no,medium,poor,hard worker,Management,hadoop,networks,system designing,SAaS services,cloud computing,Applications Developer
6,9,6,no,yes,excellent,poor,smart worker,Management,information security,Management,ethical hacking,product development,Business process analyst,Applications Developer
9,3,4,no,no,poor,poor,hard worker,Technical,information security,IOT,database security,SAaS services,system developer,Applications Developer
9,5,4,yes,no,medium,poor,hard worker,Technical,hadoop,parallel computing,AWS,Sales and Marketing,Business process analyst,Applications Developer
8,4,1,no,yes,poor,poor,smart worker,Management,information security,programming,game development,Web Services,security,Applications Developer
9,6,9,no,no,medium,poor,smart worker,Management,full stack,Management,system designing,BPA,system developer,Applications Developer
6,5,7,no,no,medium,excellent,smart worker,Technical,full stack,distributed computing,testing,Product based,Business process analyst,Applications Developer
2,4,2,yes,no,excellent,medium,smart worker,Management,shell programming,distributed computing,system designing,Finance,Business process analyst,Applications Developer
9,8,9,no,no,poor,medium,smart worker,Technical,information security,programming,system designing,Finance,developer,Applications Developer
